Africa	n. 非洲
roar	n. 大笑声;吼声\nv. 吼叫;喧哗
roast	adj. 烤过的\nn. 烤\nv. 焙烧;烤
rob	v. 盗窃;抢
robber	n. 抢劫者
robbery	n. 抢劫;抢劫罪
robe	n. 长袍;盖毯\nv. 覆盖;穿上长袍
robin	n. 旅鸫;知更鸟
robot	n. 机器人;自动机
robust	adj. 坚定的;结实的
rock	n. 大石;矿石\nv. 轻摇使;轻摆
rocket	n. 火箭;芝麻菜\nv. 惊飞;迅速上升
rocky	adj. 岩石的;摇动的
rod	n. 杆;笞鞭
rodent	adj. 侵蚀性的;咬啮的\nn. 獐头鼠目的人
rogue	adj. 劣等的;劣种的\nn. 调皮鬼;无赖\nv. 欺诈;去
roguery	n. 调皮捣蛋;无赖行为
roguish	adj. 调皮的;无赖的
role	n. 角色;作用
roll	n. 小圆面包;一卷\nv. 卷;推
roller	n. 滚动物;滚轧机
rolling	adj. 滚的;起伏的
romantic	adj. 有浪漫色彩的\nn. 浪漫的人
romp	n. 嬉耍喧闹\nv. 轻快地跑
rompers	n. 连裤童装
roof	n. 顶;房屋\nv. 给...装以特定屋面
rook	n. 骗子;车\nv. 骗取...的钱;行骗
room	n. 房间;一套房间\nv. 占一房间
roomed	adj. 有...房间的
roomy	adj. 宽敞的;体型宽的
roost	n. 栖木;歇息处\nv. 栖息;歇息
rooster	n. 栖息的鸟;雄禽
root	n. 底部;根\nv. 生根;搜寻
rope	n. 粗绳;绞索\nv. 用绳捆;成绳状
rosary	n. 玫瑰经;念珠
rose	n. 玫瑰;玫瑰色;玫瑰香水\nrise的过去式
roseate	adj. 光明的;乐观的
roster	n. 花名册;值日表
rostrum	n. 演讲;演讲台
rosy	adj. 光明的;像玫瑰的
rot	n. 腐败;腐烂\nv. 腐败;腐烂
rota	n. 勤务轮值
rotary	adj. 轮流的;旋转的\nn. 旋转式机器
rotate	v. 旋转;循环
rotation	n. 旋度;旋转
rote	n. 老一套;罗塔琴
rotten	adj. 发臭的;腐烂的
rotund	adj. 洪亮的;圆形的
rotunda	n. 圆形大厅
rouge	n. 铁丹;胭脂\nv. 使变红;脸红
rough	adj. 不平滑的;未加工的\nn. 粗人\nv. 对...动粗;使不平
roughcast	n. 粗灰泥;毛坯\nv. 粗制
roughshod	adj. 残暴的
roulette	n. 滚轮;轮盘赌\nv. 给...滚压骑缝线
round	adj. 丰满的;圆的\nn. 圆圈;圆形物\nprep. 围绕;向...各处\nv. 变圆;环行
roundabout	adj. 绕道的;下摆圆的\nn. 绕道
roundly	adv. 严厉地;圆圆地
rouse	n. 激起;干杯\nv. 激起;惊起
rout	n. 溃退;骚乱\nv. 击溃;翻
route	n. 路;途径\nv. 为...安排路线
routine	adj. 例行的;一般的\nn. 固定节目;例行公事
row	n. 路;一排\nv. 划;划运
rowdy	adj. 好争吵的\nn. 粗暴而又好争吵的人
royal	adj. 国王的;敕立的\nn. 顶桅帆;王裁
royalty	n. 堂皇;王位
rub	n. 擦;摩擦\nv. 擦;揉擦
rubber	n. 橡胶;橡皮
rubbish	adj. 无用的\nn. 垃圾\nv. 消灭;诋毁
rubble	n. 毛石;碎石
rubicund	adj. 红润的
rubric	adj. 用红色印刷的\nn. 标题;类目
ruby	adj. 红宝石色的\nn. 红宝石;红宝石色
rucksack	n. 帆布背包
ructions	n. 争吵
rudder	n. 舵;搅拌桨
ruddy	adj. 非常的;红润的\nadv. 非常
rude	adj. 粗鲁的;简单的
rudiments	n. 入门;退化器官
rue	n. 后悔;同情\nv. 懊悔
ruffian	adj. 残暴的\nn. 流氓
ruffle	n. 皱;翎颌\nv. 竖起;斗争
rug	n. 小地毯
rugged	adj. 粗壮的
ruin	n. 毁灭;破产\nv. 毁坏;毁灭
ruination	n. 毁灭
rule	n. 裁决;规则\nv. 控制;统治
ruler	n. 尺;划线人
rum	adj. 古怪的;困难的\nn. 酒;朗姆酒
rumble	n. 低频噪声;隆隆声\nv. 发隆隆声;察觉
ruminant	adj. 反刍的\nn. 反刍动物
ruminate	v. 沉思;倒嚼
rummage	n. 翻找\nv. 翻找出;翻找
rumour	n. 咕哝;名誉\nv. 谣传
rump	n. 牛臀肉;臀部
rumple	n. 皱纹\nv. 弄皱;变皱
rumpus	n. 喧闹
run	n. 跑步;赛跑\nv. 跑;逃
runaway	adj. 逃跑的;失控的\nn. 逃跑;逃跑者
runnel	n. 沟;溪
runner	n. 警官;跑动的人
runway	n. 河床;滑道
rupture	n. 决裂;破裂\nv. 断绝;破裂
rural	adj. 农村的;农业的
ruse	n. 诡计
rush	n. 冲;匆忙\nv. 猛推;冲
rusk	n. 面包干
russet	adj. 黄褐色的\nn. 黄褐色
rust	adj. 铁锈色的\nn. 铁锈色;锈\nv. 发锈;生锈
rustle	n. 沙沙声;赶忙\nv. 偷;觅食
rusty	adj. 锈的;顽固的
rut	n. 常规;车辙\nv. 动情
ruthless	adj. 无情的
sable	adj. 黑暗的;深褐色的\nn. 石貂;紫貂
sabotage	n. 暗中破坏;阴谋破坏\nv. 破坏
saboteur	n. 阴谋破坏者
sabre	n. 马刀;佩剑\nv. 用马刀砍死
sachet	n. 香囊;小袋
sack	n. 大袋;麻袋\nv. 开除;赢得;洗劫
sacrament	n. 圣餐;圣事
sacred	adj. 宗教的
sacrifice	n. 祭品;献祭\nv. 牺牲;献祭
sacrosanct	adj. 极其神圣的
sad	adj. 悲哀的;可悲的
sadden	v. 使悲伤;悲伤
saddle	n. 鞍;鞍形山\nv. 给...装鞍;强加
sadness	n. 悲哀
safari	n. 旅游;旅游队\nv. 游猎;远游
safe	adj. 安全的;谨慎的\nn. 保险箱;家用冰箱
safeguard	n. 保护;保险装置\nv. 保护;护卫
safety	n. 安全;无损
sag	n. 凹陷;下垂\nv. 松弛;下垂
sagacious	adj. 聪慧的;有灵性的
sagacity	n. 聪慧
sage	adj. 贤明的;严肃的\nn. 圣人;哲人
sail	n. 帆;帆船\nv. 驾驶;漂浮
sailor	n. 乘船者;水手
saint	n. 圣徒\nv. 正式封...为圣徒
sake	n. 理由;目的
salable	adj. 可供出售的
salad	n. 色拉;生菜
salary	n. 薪金
sale	n. 卖;销路
salesman	n. 售货员;推销员
salesroom	n. 商品展销室
salient	adj. 跳跃的;凸出的\nn. 凸角
saline	adj. 盐的\nn. 碱盐泻药;盐泉
saliva	n. 气泡条;涎;唾液
sally	n. 冲出;出发\nv. 冲出;出击
salon	n. 客厅;厅
saloon	n. 交谊厅;厅
salt	n. 盐;盐状物\nv. 撒盐于...上;以盐喂
salty	adj. 海洋的;含盐的
salutary	adj. 有益的
salutation	n. 问候;招呼
salute	n. 敬礼;行礼\nv. 打招呼;行礼
salvage	n. 海上打捞;海上救助\nv. 打捞;抢救
salvation	n. 救助;救助者
salve	n. 解救物;软膏\nv. 缓解;说清
salver	n. 浅盘
salvo	n. 齐射;一片
same	adj. 同样的;同一的
sample	n. 实例;样本\nv. 品尝;浏览
sanctify	v. 认可;使神圣化
sanction	n. 认可;赞许\nv. 批准;认可
sanctity	n. 神圣;圣洁
sanctuary	n. 高坛;圣所
sanctum	n. 圣所;私室
sand	n. 沙;沙滩\nv. 撒沙于;沙淤
sandal	n. 凉鞋;浅帮鞋
sandbag	n. 沙袋;小沙袋\nv. 威逼;在...堆沙袋
sandbank	n. 沙洲
sandpaper	n. 砂纸\nv. 用砂纸擦光
sandstone	n. 沙岩
sandwich	n. 三明治\nv. 插入
sandy	adj. 含沙的;沙土色的
sane	adj. 清醒的;无疾病的
sangfroid	n. 冷静
sanitary	adj. 公共卫生的
sanitation	n. 公共卫生;卫生设备
sanity	n. 精神健全;清醒
sap	n. 液;元气\nv. 削弱;挖坑道
sapling	n. 年轻人;幼树
sapper	n. 地雷工兵;挖掘者
sapphire	adj. 蓝宝石制的\nn. 宝石蓝色;蓝宝石
sappy	adj. 树汁多的;似边材的
sarcasm	n. 讽刺;讽刺话
sarcastic	adj. 讽刺的
sardine	n. 沙丁鱼;红宝石
sardonic	adj. 冷嘲的
sartorial	adj. 裁缝的;缝匠肌的
sash	n. 饰带;腰带
satanic	adj. 撒旦的;撒旦似的
satchel	n. 书包
satellite	adj. 卫星的\nn. 卫星;追随者
satiate	adj. 饱足的\nv. 使饱足;使厌腻
satiety	n. 饱足;厌腻
satin	adj. 缎子的;缎子做的\nn. 缎子;缎子衣服
satire	n. 讽刺;讽刺文学
satirist	n. 讽刺作家
satirize	v. 讽刺
satisfy	v. 符合;满足\nbe satisfied with对...感到满意
saturate	adj. 深的\nv. 浸透;使饱享
saturation	n. 饱和;饱享
saturnine	adj. 挖苦的
sauce	n. 沙司;炖水果\nv. 给...调味
saucepan	n. 深平底祸;炖锅
saucer	n. 茶碟;小圆碟
saucy	adj. 调皮的;漂亮的
sauna	n. 桑拿浴;桑拿浴室
saunter	n. 闲逛\nv. 闲逛
sausage	n. 香肠;香肠状物
saute	adj. 炒的\nn. 炒菜\nv. 炒
savage	adj. 不文明的;凶恶的\nn. 粗鲁的人;野蛮人\nv. 激怒;乱咬
savagery	n. 荒凉;凶恶;残暴
savant	n. 学者
save	prep. 除...外\nv. 储蓄;救助
savings	n. 存款
saviour	n. 救主;救助者
savour	n. 风味;滋味\nv. 品尝;欣赏
savoury	adj. 美味的;咸味的\nn. 开胃菜
saw	n. 锯;锯床\nv. 锯;锯成\nsee的过去式
sawdust	n. 锯末
sawmill	n. 大型锯机;锯木厂
sawyer	n. 锯工;漂流树
saxophone	n. 萨克斯管
say	adv. 哎呀;大约\nn. 决定权;细哔叽\nv. 讲述;说
scabbard	n. 枪套;鞘\nv. 把...插入鞘中
scald	adj. 加热至接近沸腾的\nn. 晒焦;烫伤\nv. 烫伤;烫洗
scale	n. 翅瓣;鳞;天平;标尺\nv. 剥落;生鳞;攀登
scalp	n. 鲸头;头皮\nv. 筛选;剥取头皮
scalpel	n. 解剖刀
scamp	n. 流氓;小淘气\nv. 草率地做;为人吝啬
scamper	n. 快跑\nv. 奔跑;匆忙游览
scan	n. 细看;眼界\nv. 细看;扫描
scandal	n. 丑行;丢脸;公愤\nv. 讲...的坏话;使丢脸
scandalize	v. 诽谤;使丢脸
scandalous	adj. 造谣中伤的
scant	adj. 不足的;缺乏的\nadv. 勉强地\nv. 减少;少给
scanty	adj. 不足的;狭窄的
scapegoat	n. 替罪羊
scar	n. 疤;痕\nv. 在...上结疤;结疤
scarce	adj. 难得的;缺乏的
scarcely	adv. 刚刚;决不
scarcity	n. 罕见;缺乏
scare	n. 惊吓;恐慌\nv. 吓;吓走
scarecrow	n. 稻草人
scarf	n. 鸬鹚;领巾\nv. 围;吃
scarlet	adj. 猩红的;羞红的\nn. 鲜红色布;猩红色
scatter	v. 撒;散射
scattered	adj. 分散的;散射的
scenario	n. 电影脚本;设想
scene	n. 地点;一场
scenery	n. 风景;舞台布景
scenic	adj. 舞台的;戏剧的
scent	n. 香味;嗅觉\nv. 察觉;觉
sceptical	adj. 怀疑论者的
scepticism	n. 怀疑论;怀疑态度
schedule	n. 表;计划\nv. 安排;将...列表
schema	n. 纲要;图表
scheme	n. 计划;系统\nv. 计划;密谋
schism	n. 分裂;派别
schismatic	adj. 分裂的\nn. 主张分裂者
scholar	n. 学生;学者
scholarly	adj. 博学的;学者的
scholastic	adj. 教师的;经院的\nn. 学究;学生
school	n. 上学;学校\nv. 教育;控制
schoolboy	n. 男生
schoolgirl	n. 女生
schoolmate	n. 校友
schoolroom	n. 教室
science	n. 科学;科学事物
scientific	adj. 科学的;科学性的
scientist	n. 科学家
scissors	n. 剪刀;交叉
scoff	n. 嘲弄;食物\nv. 嘲弄;抢劫
scold	v. 责骂;骂
scoop	n. 匙杓;勺\nv. 挖成;舀
scoot	n. 急走;摩托车\nv. 使急走;急走
scope	n. 范围;眼界
scorch	n. 烧焦;灼伤\nv. 挖苦;切
score	n. 得分;分;乐谱\nv. 得;赢得
scorer	n. 得分者;刻痕者
scorn	n. 嘲弄;轻蔑\nv. 嘲弄;拒绝
scornful	adj. 轻蔑的
scorpion	n. 拟蝎;蝎
scotch	n. 格线;刻痕\nv. 伤害;镇压
scoundrel	adj. 恶棍般的\nn. 恶棍
scour	n. 擦;除垢剂\nv. 擦掉;擦
scourge	n. 鞭子\nv. 鞭打;驱赶
scout	n. 侦察员;侦察者\nv. 搜索;侦察
scowl	n. 皱眉\nv. 皱眉表示;皱眉
scraggy	adj. 粗糙的;瘦的
scramble	n. 混乱;爬行\nv. 炒;爬
scrap	n. 片断;少量\nv. 报废;废弃
scrapbook	n. 剪贴簿
scrape	n. 刮;擦伤\nv. 擦伤;刮
scraper	n. 刮刀;刮的人
scratch	adj. 侥幸的\nn. 微伤;抓\nv. 抓;搔
scratchy	adj. 乱涂的;噪的
scrawl	n. 潦草的笔迹\nv. 涂掉;涂写
scream	n. 尖叫声\nv. 尖叫得使;尖叫着说
screech	n. 尖叫;烈酒\nv. 尖叫
screed	n. 便笺;长名单
screen	n. 屏;纱窗\nv. 放映;遮
screenplay	n. 电影剧本
screw	n. 螺钉;阳螺旋\nv. 操纵;旋
scribble	n. 拙劣的作品\nv. 乱涂;粗梳
script	n. 笔迹;书写体\nv. 为...写剧本
scriptural	adj. 圣经的;书写物的
scripture	n. 经典;圣经
scroll	n. 卷轴;名册\nv. 使成卷轴;卷起
scrub	n. 擦洗;擦洗者\nv. 擦;擦掉
scrubby	adj. 矮小的;褴褛的
scruff	n. 颈背;浮渣
scruffy	adj. 卑鄙的
scruple	n. 顾虑;吩\nv. 对...有顾虑;有顾虑
scrupulous	adj. 细致的;有顾忌的
scrutinize	v. 详细检查
scrutiny	n. 细看;选票检查
scud	n. 飞奔;拍\nv. 飞奔;顺风行驶
scuffle	n. 扭打;推式锄\nv. 集;扭打
scull	n. 短桨;尾橹\nv. 用桨划;荡双桨
scullery	n. 洗涤室
sculptor	n. 雕刻家
sculpture	n. 雕刻;刻蚀\nv. 雕刻;刻蚀
scum	n. 浮藻;浮渣\nv. 去除;起泡沫
scupper	n. 女人;泄水口\nv. 使毁灭
scurf	n. 皮屑
scurrilous	adj. 用污言秽语谩骂的
scurry	n. 阵雪;小跑\nv. 使急赶;乱转
scuttle	n. 车颈;箩\nv. 逃避;放弃;凿沉
sea	n. 海;内海
seaboard	adj. 海滨的\nn. 海岸线;海滨
seaborne	adj. 海运的
seafaring	adj. 航海的\nn. 海上航行;航海业
seagull	n. 海鸥
seal	n. 封蜡;印记\nv. 保证;盖章于
seam	n. 缝;骨缝\nv. 缝合;缝纫
seaman	n. 水兵;水手
seamanship	n. 航海技能
seamstress	n. 女裁缝
seamy	adj. 讨嫌的;有线缝的
seaport	n. 海港;海港城市
sear	adj. 干枯的\nn. 烙印;暮年\nv. 烧灼;烧焦
search	n. 检查;搜查\nv. 探;细察
seashore	n. 海岸
seasick	adj. 晕船的
seaside	n. 海边
season	n. 季;节期\nv. 给...调味;变干燥
seasonable	adj. 及时的;及早的
seasonal	adj. 季节的
seat	n. 坐部;座\nv. 供给...座位;使坐下
seaworthy	adj. 适宜航海的
secede	v. 使脱离;退出
seclude	v. 不让...进入;使隔绝
seclusion	n. 隔绝
second	adj. 次要的;第二的\nadv. 第二;以第二位\nn. 秒;片刻\nv. 赞成;支持
secondary	adj. 次的;第二的
secondhand	adj. 第二手的;用过的\nadv. 从第二手;作为旧货
secondly	adv. 第二
secrecy	n. 保密;秘密
secret	adj. 秘密的;能保密的\nn. 奥秘;秘密
secretary	n. 秘书;书记
secrete	v. 分泌;隐藏
secretion	n. 分泌;隐蔽
secretive	adj. 分泌的
sect	n. 教派;派别
sectarian	adj. 闹宗派的;派别的\nn. 宗派成员
section	n. 部分;乐器组\nv. 将...切片;被切成片
sectional	adj. 部分的;地区的\nn. 组合家具
sector	n. 部分;扇形\nv. 把...分成扇形
secular	adj. 非宗教的;现世的\nn. 平信徒
secure	adj. 安全的;安心的\nv. 保证;缚牢
security	n. 安全;保证
sedan	n. 单舱汽艇
sedate	adj. 镇定的\nv. 给...服镇静剂
sedative	adj. 镇静的\nn. 镇静药
sedentary	adj. 不迁徙的;坐着的
sediment	n. 沉积;沉积物\nv. 使沉积;沉积
sedition	n. 反叛;煽动言论
seduce	v. 说服;唆使
seduction	n. 教唆;诱惑物
seductive	adj. 诱惑的
sedulous	adj. 坚持的;勤勉的
see	v. 察看;看
seed	n. 精子;种\nv. 播;播种
seedless	adj. 无核的
seedling	adj. 籽生的;籽状的\nn. 籽苗;籽生植物
seedsman	n. 播种者;种子商
seedy	adj. 结籽的;破旧的
seek	v. 试图;去
seem	v. 感到好像;好像发生
seemly	adj. 好看的;合适的\nadv. 合适地
seesaw	adj. 上下摇动的\nn. 跷跷板\nv. 交替;上下摇动
seethe	n. 翻腾\nv. 翻腾;沸腾
segment	n. 部分;段\nv. 分割;细胞分裂
segregate	n. 分离子\nv. 分离;隔离
seismic	adj. 地震的;震动的
seize	v. 夺取;掌握
seldom	adv. 不常
select	adj. 挑剔的;优等的\nv. 选择;作出选择
selection	n. 选择
selective	adj. 选择的;选择性的
selector	n. 调谐旋钮;挑选人
self	n. 本性;私利
selfish	adj. 自私的
selfless	adj. 无私的
selfsame	adj. 完全相同
sell	n. 欺骗;推销\nv. 出卖;卖
seller	n. 畅销品;卖者
semaphore	n. 旗语;信号\nv. 发信号
semblance	n. 假象;类似
semen	n. 精液;精子
semester	n. 半年;学期
semicircle	n. 半圆
semicolon	n. 分号
semifinal	adj. 半决赛的\nn. 半决赛
seminal	adj. 繁殖的;精液的;\nn. 研究会
seminary	n. 神学院;书院
senate	n. 参议院;元老院
senator	n. 参议员;理事
send	v. 发送;派遣
sender	n. 发射机;发送人
senile	adj. 老年的;老年期的
senility	n. 年老;衰老
senior	adj. 较年长的;老\nn. 较年长者;四年级生
seniority	n. 年长;资深
sensation	n. 感觉;轰动
sense	n. 感官;感觉\nv. 检测;了解
senseless	adj. 极愚蠢的;无意义的
sensible	adj. 明智的;知道的
sensitive	adj. 敏感的;易波动的
sensitize	v. 使过敏;使敏感
sensor	n. 传感器;感觉器
sensory	adj. 感觉的
sensual	adj. 官能的;肉感的
sensuous	adj. 给感官以快感的
sentence	n. 句子;命题\nv. 使遭受;宣判
sentient	adj. 意识到的
sentiment	n. 感情;情绪
sentinel	n. 标记;步哨\nv. 警戒;在...放哨
sentry	n. 步哨;警卫
separable	adj. 可分隔的;使分离的
separate	adj. 不同的;分开的\nv. 分割;分隔
separation	n. 分拣;分离
sepulchre	n. 坟墓;圣物匣\nv. 埋葬
sequel	n. 后果;继续
sequence	n. 次序;连续\nv. 确定...的化学结构序列
sequester	n. 分离\nv. 扣押;没收
sequin	n. 西昆;装饰用小金片
serenade	n. 小夜曲\nv. 唱小夜曲
serene	adj. 安详的;平静的\nn. 平静
serfdom	n. 农奴制
sergeant	n. 军士
serial	adj. 连续的\nn. 连载小说;期刊
series	n. 连续;系列演出
serious	adj. 认真的;严肃的
sermon	n. 布道;启示
serpent	n. 狡猾的人;蛇
serpentine	adj. 狡猾的;蛇的\nn. 蛇纹石
serum	n. 浆液;血清
servant	n. 雇员;仆人
serve	n. 发球;轮到发球\nv. 任;帮佣
service	n. 服务\nv. 检修;为...服务
serviceman	n. 军人;维修人员
serviette	n. 餐巾
servitude	n. 劳役;奴役
session	n. 会议;开庭
set	n. 集子;一套\nv. 放;落
setback	n. 挫折;逆流
settle	v. 安放;定居
settlement	n. 安顿;移民
settler	n. 结算员;解决者;殖民者
seven	n. 第七;七
seventeen	n. 第十七;十七
seventh	n. 第七;第七日
seventieth	n. 第七十
seventy	n. 第七十;七十
sever	v. 断绝;断
several	pron. 几个
severally	adv. 独自地;分开地
severe	adj. 尖锐的;严肃的
sew	v. 缝;缝制
sewage	n. 污水
sex	n. 男人;性\nv. 性交
sexism	n. 性别歧视;性别主义
sextant	n. 六分仪;六分周
sexual	adj. 两性的;性的
sexy	adj. 色情的;性感的
shabby	adj. 卑鄙的;破旧的
shackle	n. 钩环;枷锁\nv. 束缚
shade	n. 荫;阴暗\nv. 隐瞒;遮
shadow	n. 阴影;影子\nv. 钉...的梢;渐变
shady	adj. 背阴的;成荫的
shaft	n. 矿井;轴\nv. 欺骗;推动
shaggy	adj. 粗浓的;邋遢的
shake	n. 握手;摇动\nv. 撒;摇
shaky	adj. 不可靠的;颤抖的
shall	aux. 将要;一定
shallow	adj. 薄的;浅的\nn. 浅水处
sham	adj. 仿造的;虚假的\nn. 假冒物;假装\nv. 哄骗;假装
shamble	n. 蹒跚\nv. 蹒跚
shambles	n. 混乱;屠宰场
shame	n. 羞耻;羞辱\nv. 感到羞耻
shamefaced	adj. 羞涩的
shameful	adj. 不道德的;可耻的
shameless	adj. 无耻的
shampoo	n. 按摩;洗发剂\nv. 洗...的头
shank	n. 腿肉;胫
shape	n. 体形;形状\nv. 形成;表规
shapely	adj. 定形的;样子好的
share	n. 股份;一份\nv. 分开;分享
shark	n. 鲨;骗子\nv. 诈取;诈骗
sharp	adj. 锋利的;尖的
sharpen	v. 加重;削尖
sharper	n. 骗子
shatter	v. 破坏;削弱
shave	n. 薄片;剃刀\nv. 剃;修剪
shaver	n. 小伙子;修面人
shawl	n. 方形披巾\nv. 包裹
she	pron. 它;她
sheaf	n. 捆;札
shear	n. 剪\nv. 剪;修剪
sheath	n. 鞘
sheathe	v. 把...插入鞘;包
shed	n. 棚屋;榭\nv. 抗;分散
sheen	adj. 灿烂的\nn. 光辉\nv. 发光
sheep	n. 羊;羊皮革
sheepdog	n. 牧羊犬
sheepish	adj. 绵羊般的;羞怯的
sheer	adj. 纯粹的;极薄的\nadv. 陡峭地;完全地\nn. 偏荡;偏航\nv. 使偏航;偏航
sheet	n. 薄片;被单
shelf	n. 搁板状物;架子
shell	n. 蛋壳;壳\nv. 脱壳;剥去;炮轰
shelter	n. 掩蔽;遮盖物\nv. 掩蔽;躲避
shelve	v. 搁置;装架子于
shepherd	n. 保护者;牧童\nv. 护卫;牧
sheriff	n. 名誉郡长;县治安官
sherry	n. 雪利酒
shield	n. 保护物;盾\nv. 保护;庇护
shift	n. 班;变向\nv. 变;替换
shiftless	adj. 偷懒的;无办法的
shifty	adj. 变动的;机智的
shimmer	n. 闪光;微光\nv. 使闪烁;闪烁
shin	n. 胫;胫骨\nv. 攀;快步走
shine	n. 光;光泽\nv. 擦亮;照耀
shingle	n. 木瓦;小招牌\nv. 使交搭;锻
ship	n. 船;飞船\nv. 用船运;上船
shipment	n. 装运
shipper	n. 托运人
shipwreck	n. 毁灭;失事船\nv. 使毁灭;船舶失事
shire	n. 郡;夏尔马
shirk	v. 逃避;溜掉
shirt	n. 衬衫;贴身衣
shit	adv. 呸\nn. 腹泻;屎\nv. 拉;拉屎
shiver	n. 发抖;寒颤\nv. 颤抖;打碎
shock	n. 冲击;震动\nv. 使震惊;震扰
shoddy	adj. 劣质的;用过的\nn. 长弹毛;假装粗俗
shoe	n. 蹄铁;鞋
shoehorn	n. 鞋拔\nv. 把...硬塞进去
shoelace	n. 鞋带
shoemaker	n. 制鞋工人
shoestring	n. 小额资本;鞋带
shoot	n. 射击;芽\nv. 发射;开
shooting	n. 发射;射猎
shop	n. 购物;商店;营业\nv. 选购;浏览
shopkeeper	n. 店主
shoplifter	n. 商店货物扒手
shore	n. 滨;陆地\nshear的过去式
short	adj. 矮的;短的\nadv. 唐突地;突然地\nn. 短路;要点\nv. 卖空;短路
shortage	n. 不足;不足乏额
shortcut	n. 近路
shorten	v. 弄短;变短
shorthand	adj. 似速记的;速记法的\nn. 速记;速记法
shortly	adv. 简短地;立刻
shorts	n. 短裤
shortwave	n. 短波;短波辐射
shotgun	adj. 被迫做的;猎枪的\nn. 猎枪;媒人
shoulder	n. 肩;肩部\nv. 担负;肩起
shout	n. 呼喊\nv. 呼喊;叫嚷
shove	n. 推\nv. 强使;推
shovel	n. 铲;铲状物\nv. 铲;用铲挖出
show	n. 演出;展览\nv. 陈列;给...看
showcase	n. 显示优点的东西
showdown	n. 摊牌
shower	n. 一大批;阵雨\nv. 喷淋;洗淋浴
showroom	n. 陈列室
showy	adj. 炫耀的
shrapnel	n. 零钱;榴霰弹;弹片
shred	n. 碎片;最少量\nv. 切掉;撕碎
shrewd	adj. 机灵的;锐利的
shriek	n. 尖叫\nv. 尖叫
shrill	adj. 尖声的;尖锐的\nadv. 尖声地\nn. 尖声\nv. 尖声说出
shrimp	n. 矮子;虾\nv. 捕虾
shrine	n. 圣地;圣陵
shrink	n. 缩水;退缩\nv. 不愿;收缩
shrinkage	n. 减少;收缩
shrivel	v. 使枯萎;枯萎
shroud	n. 裹尸布;遮蔽幕\nv. 覆盖;掩护
shrub	n. 灌木;果汁冰水
shrubbery	n. 灌木
shrug	n. 耸肩\nv. 耸;缩拢
shudder	n. 恐惧感;震动;发抖\nv. 突然震动;战栗
shuffle	n. 搅乱;曳行;洗牌\nv. 搞乱;跳
shun	v. 避开
shunt	n. 调轨;分流\nv. 摆脱;调轨
shut	v. 关上;合上
shutter	n. 百叶窗;快门
shuttle	n. 梭\nv. 穿梭般来回移动
shy	adj. 迟疑的;怕陌生的\nn. 惊退;尝试\nv. 后退;惊退
sick	adj. 病人的;恶心的\nv. 使厌恶
sicken	v. 枯萎;生病
sickle	adj. 镰刀状的\nn. 镰刀;镰形星群
sickly	adj. 有病的
sickness	n. 弊病;恶心
side	n. 边;旁边\nv. 同意;赞助
sideboard	n. 餐具柜;侧板
sidecar	n. 边车
sidelight	n. 侧光;舷灯
sideline	n. 边线;旁线;副业
sideshow	n. 穿插表演;附带事件;杂耍
sidetrack	n. 侧线;离题\nv. 转变;转变话题
sidewalk	n. 人行道
sideways	adv. 从一边;向一边
sidle	n. 侧身而行\nv. 侧身而行;横过山坡
siege	n. 包围;长期折磨\nv. 包围
sift	v. 滤;筛;详查
sigh	n. 叹气\nv. 悲叹;渴望
sight	n. 检查;看见;视觉\nv. 观测;看到
sightless	adj. 看不见的;盲的
sign	n. 标志;符号\nv. 签;写下
signal	n. 标志;导因\nv. 是...的标志;发信号
signalize	v. 表明;使突出
signaller	n. 信号员;信号装置
signatory	adj. 签署的\nn. 签署者
signature	n. 识别标志;署名
signify	v. 表示;吹牛
signpost	n. 路标
silage	n. 青贮饲料
silence	n. 寂静;静默\nv. 使安静;压制
silencer	n. 枪消音器;消音器
silent	adj. 安静的;不作声的
silhouette	n. 轮廓\nv. 画黑色轮廓像
silicon	n. 硅
silk	n. 丝;丝织品
silken	adj. 丝制的
silkworm	n. 蚕
silky	adj. 轻柔的;丝制的
sill	n. 基石;岩床
silly	adj. 无聊的;晕眩的\nn. 傻瓜
silo	n. 竖井;筒仓
silver	n. 钱;银\nv. 镀银于;变成银色
silvery	adj. 含银的;似银的;银色的;悦耳的
similar	adj. 相似的;相像的
similarity	n. 相似点;相似性
simmer	n. 激化;煨\nv. 煨;感到燥热
simple	adj. 纯朴的;简单的
simpleton	n. 傻瓜
simplicity	n. 简单;简朴
simplify	v. 简化;变简单
simply	adv. 简单地;仅仅
simulate	v. 假装;模仿
sin	n. 过错;罪\nv. 犯;犯过失
since	adv. 从那以后;之前\nprep. 自...以来\nconj. 因为;自...以来
sincere	adj. 不搀假的;诚实的
sincerity	n. 诚实;真心实意
sinew	n. 肌腱;力量\nv. 给...以力量;使牢固
sinful	adj. 有过错的;有罪的
sing	v. 唱;啼
singe	n. 轻微的烧焦\nv. 用微火燎去
singer	n. 鸣禽;诗人
single	adj. 单程的;单人的\nn. 单曲唱片;一个\nv. 选出
singlet	n. 单线;汗衫
singsong	adj. 节奏单调的\nn. 单调的节奏
singular	adj. 独一的;非凡的
sinister	adj. 不幸的;恶意的
sink	n. 落水洞;污水井\nv. 下沉;下落
sinker	n. 雕刻者;凿井工
sinless	adj. 无罪的
sinuous	adj. 弯曲的
sip	n. 抿尝;小口喝\nv. 抿尝;小口地喝
